agent,phase,reward,reward,reward,latency_ms,latency_ms,latency_ms,energy_efficiency,energy_efficiency,energy_efficiency,task_scheduling_score,task_scheduling_score,task_scheduling_score,scalability_score,scalability_score,scalability_score,resource_allocation_score,resource_allocation_score,resource_allocation_score
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
baseline,early,0.38254423649999997,0.0873148585593154,20000,945.5301135,28.70168264024667,20000,0.41246689999999997,0.018854309285649518,20000,0.6418754,0.10482606927706506,20000,0.4590996,0.07586096640665226,20000,0.45650784999999994,0.09968248225360735,20000
baseline,final,0.5226155549999999,0.12767983655763795,50000,935.597305,35.57407029222998,50000,0.46717447999999995,0.03489273659074254,50000,0.6456804,0.10396519798032465,50000,0.5041694,0.08918925831127765,50000,0.48686898,0.10912759536616229,50000
baseline,mid,0.41403875766666665,0.14231852073523263,30000,948.607809,41.66163127283313,30000,0.42588400000000004,0.04923981955011276,30000,0.6403249333333333,0.10879231595382124,30000,0.47515379999999996,0.09210889179204212,30000,0.46160876666666667,0.09149083481734177,30000
costar,early,0.4109138886666666,0.0998385128570461,30000,948.6296446666666,41.33312146698739,30000,0.4245307,0.039748883296273615,30000,0.6380647333333334,0.10583865993574192,30000,0.4741185666666667,0.08198336020797513,30000,0.46089426666666666,0.09121861605501747,30000
costar,final,0.42010429349999995,0.09889911609952862,80000,940.7726315,29.237861591343986,80000,0.42749315,0.020541269492765097,80000,0.646272225,0.105390772052084,80000,0.4687529125,0.08215429874253406,80000,0.46463086249999996,0.10058347485023893,80000
costar,mid,0.41398817299999996,0.14527478948401631,50000,950.890487,37.76065710314552,50000,0.42504243999999997,0.04323854657923396,50000,0.63770984,0.10698459310217422,50000,0.47767415999999996,0.09642337837709418,50000,0.46216206,0.09533837771160923,50000
dreamerv3,early,0.3963050573333333,0.09744984682094004,30000,943.7106426666667,29.113498607582187,30000,0.41722339999999997,0.021599544218578782,30000,0.6418598,0.10519421595979446,30000,0.4631796333333333,0.07608088924683493,30000,0.4596126666666666,0.10277510008230933,30000
dreamerv3,final,0.45553305949999995,0.12949783695990658,80000,940.343003,32.05234434412272,80000,0.44216515,0.037410134248012136,80000,0.64636385,0.10657685898455646,80000,0.47874577500000004,0.06861495605771248,80000,0.4749651375,0.11552478120210512,80000
dreamerv3,mid,0.5183785587999999,0.08812624708527748,50000,940.0094012000001,27.881664038454193,50000,0.46787968,0.019009816163230317,50000,0.64679954,0.10552039919788563,50000,0.50369236,0.08386626871782807,50000,0.48681592000000007,0.10496336875657675,50000
hydra,early,0.4862921143333333,0.150706540404092,30000,945.244319,34.94383163375955,30000,0.45354536666666667,0.04299691345144568,30000,0.6394949,0.10220653589597796,30000,0.4975928333333333,0.08722829973417359,30000,0.4803982333333333,0.11357400001171489,30000
hydra,final,0.517953244375,0.0999609343558032,80000,938.579055625,30.397431900577335,80000,0.4671208875,0.028571974086220135,80000,0.6461554374999999,0.10449479336888629,80000,0.5027069875,0.08136019557924372,80000,0.486704425,0.10803608012072567,80000
hydra,mid,0.3461563982,0.10363618823644206,50000,949.9394818000001,38.628087515645525,50000,0.39813166,0.03424063921821352,50000,0.63805004,0.10583585460778755,50000,0.45058364,0.077467940142909,50000,0.44738057999999997,0.09274308882323283,50000
tdmpc2,early,0.49936105033333333,0.09126739417138462,30000,942.2650496666666,28.802735162873574,30000,0.45934126666666664,0.019014406520251773,30000,0.6428787,0.1050888216779408,30000,0.49986763333333334,0.08204101374717043,30000,0.4824172,0.10582501236444403,30000
tdmpc2,final,0.4401064855,0.09519508178043294,80000,941.321527,30.742568244326186,80000,0.43595035,0.01994000513854143,80000,0.6460233875,0.10560191753745471,80000,0.475754675,0.07855939924913193,80000,0.4697229875,0.10396744618844936,80000
tdmpc2,mid,0.489621999,0.10407496812975689,50000,945.3875609999999,30.69277070224755,50000,0.45578294,0.030634912027180994,50000,0.6404196,0.103539443228975,50000,0.49937048,0.08610350852812702,50000,0.47985614,0.10309896891942355,50000
