episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.3197499999999999,2025-09-23 07:24:24,costar,early,train,2,945.25,0.429,0.473,0.441,0.395
2,0.36409,2025-09-23 07:24:25,costar,early,train,2,929.91,0.448,0.484,0.442,0.404
3,0.2100300000000001,2025-09-23 07:24:26,costar,early,train,2,1058.97,0.431,0.475,0.441,0.397
4,0.3836699999999999,2025-09-23 07:24:27,costar,early,train,2,922.33,0.457,0.492,0.44,0.409
5,0.35529,2025-09-23 07:24:28,costar,early,train,2,930.71,0.443,0.483,0.441,0.402
6,0.3386700000000001,2025-09-23 07:24:29,costar,early,train,2,945.33,0.441,0.48,0.442,0.401
7,0.37208,2025-09-23 07:24:29,costar,early,train,2,928.92,0.453,0.489,0.441,0.407
8,0.37853,2025-09-23 07:24:30,costar,early,train,2,928.47,0.457,0.491,0.441,0.409
9,0.35216000000000003,2025-09-23 07:24:31,costar,early,train,2,929.84,0.44,0.48,0.441,0.401
10,0.38111,2025-09-23 07:24:32,costar,early,train,2,925.89,0.457,0.491,0.442,0.408
11,0.36092,2025-09-23 07:24:33,costar,early,train,2,932.08,0.448,0.485,0.441,0.404
12,0.36396000000000006,2025-09-23 07:24:34,costar,early,train,2,929.04,0.448,0.485,0.441,0.404
13,0.3674600000000001,2025-09-23 07:24:35,costar,early,train,2,927.54,0.448,0.485,0.442,0.405
14,0.27426999999999996,2025-09-23 07:24:36,costar,early,train,2,966.73,0.413,0.463,0.44,0.388
15,0.3519500000000001,2025-09-23 07:24:37,costar,early,train,2,934.05,0.443,0.483,0.441,0.402
16,0.35380999999999996,2025-09-23 07:24:38,costar,early,train,2,928.19,0.441,0.482,0.44,0.401
17,0.33884000000000003,2025-09-23 07:24:39,costar,early,train,2,930.16,0.431,0.474,0.442,0.396
18,0.25281000000000015,2025-09-23 07:24:40,costar,early,train,2,1040.19,0.447,0.484,0.442,0.404
19,0.36402,2025-09-23 07:24:41,costar,early,train,2,928.98,0.447,0.484,0.442,0.404
20,0.30882000000000015,2025-09-23 07:24:42,costar,early,train,2,950.18,0.424,0.469,0.442,0.393
21,0.29331,2025-09-23 07:24:43,costar,early,train,2,952.69,0.415,0.463,0.442,0.389
22,0.24328,2025-09-23 07:24:44,costar,early,train,2,990.72,0.406,0.457,0.443,0.385
23,0.35655000000000003,2025-09-23 07:24:45,costar,early,train,2,940.45,0.45,0.486,0.442,0.405
24,0.27689,2025-09-23 07:24:46,costar,early,train,2,957.11,0.408,0.459,0.441,0.385
25,0.35263,2025-09-23 07:24:46,costar,early,train,2,932.37,0.442,0.482,0.441,0.402
26,0.3549800000000001,2025-09-23 07:24:47,costar,early,train,2,931.02,0.443,0.482,0.441,0.402
27,0.31746000000000013,2025-09-23 07:24:48,costar,early,train,2,947.54,0.428,0.472,0.442,0.395
28,0.35504,2025-09-23 07:24:49,costar,early,train,2,941.96,0.45,0.486,0.442,0.405
29,0.3678600000000001,2025-09-23 07:24:50,costar,early,train,2,932.14,0.452,0.488,0.442,0.406
30,0.37687,2025-09-23 07:24:51,costar,early,train,2,926.13,0.454,0.489,0.442,0.407
31,0.3620700000000001,2025-09-23 07:24:52,costar,early,train,2,928.93,0.446,0.483,0.442,0.403
32,0.36254,2025-09-23 07:24:53,costar,early,train,2,937.46,0.452,0.487,0.442,0.406
33,0.3758099999999999,2025-09-23 07:24:54,costar,early,train,2,926.19,0.453,0.488,0.442,0.407
34,0.37072000000000005,2025-09-23 07:24:55,costar,early,train,2,926.28,0.45,0.486,0.442,0.405
35,0.27491000000000004,2025-09-23 07:24:56,costar,early,train,2,952.09,0.403,0.456,0.441,0.383
36,0.3353,2025-09-23 07:24:57,costar,early,train,2,938.7,0.435,0.477,0.441,0.398
37,0.34059000000000006,2025-09-23 07:24:58,costar,early,train,2,933.41,0.435,0.477,0.441,0.398
38,0.2856,2025-09-23 07:24:59,costar,early,train,2,942.4,0.403,0.455,0.442,0.383
39,0.36255999999999994,2025-09-23 07:25:00,costar,early,train,2,949.44,0.46,0.493,0.442,0.41
40,0.35852000000000006,2025-09-23 07:25:01,costar,early,train,2,928.48,0.443,0.481,0.442,0.402
41,0.38565,2025-09-23 07:25:01,costar,early,train,2,926.35,0.46,0.493,0.442,0.41
42,0.37210000000000004,2025-09-23 07:25:02,costar,early,train,2,934.9,0.457,0.491,0.442,0.408
43,0.36396000000000006,2025-09-23 07:25:03,costar,early,train,2,932.04,0.449,0.485,0.442,0.405
44,0.37797,2025-09-23 07:25:04,costar,early,train,2,925.03,0.454,0.489,0.442,0.407
45,0.38808000000000004,2025-09-23 07:25:05,costar,early,train,2,925.92,0.461,0.494,0.442,0.411
46,0.27789999999999987,2025-09-23 07:25:06,costar,early,train,2,955.1,0.408,0.46,0.44,0.385
47,0.37326,2025-09-23 07:25:07,costar,early,train,2,932.74,0.457,0.492,0.44,0.409
48,0.35613000000000006,2025-09-23 07:25:08,costar,early,train,2,929.87,0.444,0.484,0.44,0.402
49,0.31841,2025-09-23 07:25:09,costar,early,train,2,945.59,0.428,0.472,0.441,0.395
50,0.37864000000000003,2025-09-23 07:25:10,costar,early,train,2,923.36,0.454,0.489,0.441,0.407
51,0.37202,2025-09-23 07:25:11,costar,early,train,2,923.98,0.45,0.486,0.441,0.405
52,0.37013000000000007,2025-09-23 07:25:12,costar,early,train,2,926.87,0.45,0.486,0.442,0.405
53,0.37040000000000006,2025-09-23 07:25:13,costar,early,train,2,929.6,0.452,0.487,0.442,0.406
54,0.37474999999999997,2025-09-23 07:25:14,costar,early,train,2,931.25,0.456,0.49,0.442,0.408
55,0.35352000000000006,2025-09-23 07:25:15,costar,early,train,2,937.48,0.446,0.484,0.442,0.403
56,0.20479999999999993,2025-09-23 07:25:16,costar,early,train,2,1003.2,0.39,0.448,0.441,0.377
57,0.35036,2025-09-23 07:25:16,costar,early,train,2,945.64,0.45,0.487,0.441,0.405
58,0.35262000000000004,2025-09-23 07:25:17,costar,early,train,2,933.38,0.443,0.482,0.441,0.402
59,0.29529999999999995,2025-09-23 07:25:18,costar,early,train,2,956.7,0.419,0.466,0.442,0.391
60,0.35799,2025-09-23 07:25:19,costar,early,train,2,948.01,0.456,0.49,0.442,0.408
61,0.3579500000000001,2025-09-23 07:25:20,costar,early,train,2,933.05,0.446,0.483,0.442,0.403
62,0.3973400000000001,2025-09-23 07:25:21,costar,early,train,2,921.66,0.465,0.496,0.442,0.412
63,0.33883000000000013,2025-09-23 07:25:22,costar,early,train,2,955.17,0.448,0.485,0.442,0.404
64,0.36025000000000007,2025-09-23 07:25:23,costar,early,train,2,930.75,0.446,0.483,0.442,0.403
65,0.2771099999999999,2025-09-23 07:25:24,costar,early,train,2,971.89,0.417,0.464,0.442,0.39
66,0.3473200000000001,2025-09-23 07:25:25,costar,early,train,2,938.68,0.442,0.481,0.442,0.402
67,0.2935099999999999,2025-09-23 07:25:26,costar,early,train,2,954.49,0.418,0.467,0.44,0.39
68,0.3609500000000001,2025-09-23 07:25:27,costar,early,train,2,926.05,0.444,0.483,0.441,0.402
69,0.34169000000000005,2025-09-23 07:25:28,costar,early,train,2,932.31,0.435,0.477,0.441,0.398
70,0.3132500000000001,2025-09-23 07:25:29,costar,early,train,2,951.75,0.428,0.471,0.442,0.395
71,0.38187999999999994,2025-09-23 07:25:30,costar,early,train,2,926.12,0.457,0.491,0.442,0.409
72,0.36093,2025-09-23 07:25:31,costar,early,train,2,928.07,0.444,0.481,0.443,0.402
73,0.39285,2025-09-23 07:25:32,costar,early,train,2,925.15,0.463,0.494,0.443,0.412
74,0.37450999999999995,2025-09-23 07:25:32,costar,early,train,2,935.49,0.459,0.492,0.442,0.409
75,0.36531,2025-09-23 07:25:33,costar,early,train,2,928.69,0.448,0.484,0.442,0.404
76,0.37316,2025-09-23 07:25:34,costar,early,train,2,929.84,0.454,0.488,0.442,0.407
77,0.3918,2025-09-23 07:25:35,costar,early,train,2,925.2,0.463,0.495,0.442,0.412
78,0.2798200000000001,2025-09-23 07:25:36,costar,early,train,2,950.18,0.405,0.457,0.441,0.384
79,0.36688,2025-09-23 07:25:37,costar,early,train,2,929.12,0.45,0.487,0.441,0.405
80,0.35917999999999994,2025-09-23 07:25:38,costar,early,train,2,923.82,0.441,0.481,0.441,0.401
81,0.31581,2025-09-23 07:25:39,costar,early,train,2,942.19,0.423,0.469,0.442,0.393
82,0.37788000000000005,2025-09-23 07:25:40,costar,early,train,2,938.12,0.463,0.494,0.442,0.411
83,0.35827,2025-09-23 07:25:41,costar,early,train,2,929.73,0.444,0.482,0.442,0.402
84,0.36512,2025-09-23 07:25:42,costar,early,train,2,926.88,0.446,0.483,0.442,0.404
85,0.2896,2025-09-23 07:25:43,costar,early,train,2,957.4,0.415,0.463,0.443,0.389
86,0.31449,2025-09-23 07:25:44,costar,early,train,2,937.51,0.419,0.465,0.442,0.391
87,0.38314999999999994,2025-09-23 07:25:45,costar,early,train,2,932.85,0.462,0.493,0.443,0.411
88,0.28783999999999993,2025-09-23 07:25:46,costar,early,train,2,947.16,0.408,0.459,0.441,0.386
89,0.37848000000000004,2025-09-23 07:25:46,costar,early,train,2,917.52,0.45,0.487,0.441,0.405
90,0.3658300000000001,2025-09-23 07:25:47,costar,early,train,2,930.17,0.45,0.487,0.441,0.405
91,0.30314999999999986,2025-09-23 07:25:48,costar,early,train,2,943.85,0.416,0.464,0.442,0.389
92,0.36225999999999997,2025-09-23 07:25:49,costar,early,train,2,942.74,0.455,0.489,0.442,0.408
93,0.36585,2025-09-23 07:25:50,costar,early,train,2,927.15,0.447,0.484,0.442,0.404
94,0.37014,2025-09-23 07:25:51,costar,early,train,2,926.86,0.45,0.486,0.442,0.405
95,0.3688099999999999,2025-09-23 07:25:52,costar,early,train,2,934.19,0.454,0.488,0.442,0.407
96,0.37402,2025-09-23 07:25:53,costar,early,train,2,925.98,0.452,0.487,0.442,0.406
97,0.3715200000000001,2025-09-23 07:25:54,costar,early,train,2,925.48,0.45,0.486,0.442,0.405
98,0.31001000000000006,2025-09-23 07:25:55,costar,early,train,2,944.99,0.421,0.467,0.442,0.392
99,0.21200000000000013,2025-09-23 07:25:56,costar,early,train,2,1015.0,0.403,0.456,0.441,0.383
100,0.3400600000000001,2025-09-23 07:25:57,costar,early,train,2,951.94,0.447,0.485,0.441,0.404
101,0.36186999999999997,2025-09-23 07:25:58,costar,early,train,2,939.13,0.453,0.489,0.441,0.407
102,0.27325000000000005,2025-09-23 07:25:59,costar,early,train,2,951.75,0.401,0.454,0.442,0.382
103,0.38257,2025-09-23 07:26:00,costar,early,train,2,928.43,0.46,0.493,0.441,0.41
104,0.3652200000000001,2025-09-23 07:26:01,costar,early,train,2,924.78,0.445,0.483,0.442,0.403
105,0.3630700000000001,2025-09-23 07:26:02,costar,early,train,2,929.93,0.448,0.485,0.441,0.404
106,0.3714199999999999,2025-09-23 07:26:02,costar,early,train,2,933.58,0.456,0.491,0.441,0.408
107,0.36360000000000003,2025-09-23 07:26:03,costar,early,train,2,929.4,0.448,0.485,0.441,0.404
108,0.3547000000000001,2025-09-23 07:26:04,costar,early,train,2,926.3,0.44,0.48,0.441,0.4
109,0.25231,2025-09-23 07:26:05,costar,early,train,2,1037.69,0.446,0.484,0.441,0.403
110,0.28014,2025-09-23 07:26:06,costar,early,train,2,945.86,0.403,0.457,0.44,0.383
111,0.34192,2025-09-23 07:26:07,costar,early,train,2,934.08,0.437,0.479,0.44,0.399
112,0.32703,2025-09-23 07:26:08,costar,early,train,2,945.97,0.434,0.476,0.441,0.398
113,0.32546000000000014,2025-09-23 07:26:09,costar,early,train,2,942.54,0.431,0.474,0.441,0.396
114,0.36645000000000005,2025-09-23 07:26:10,costar,early,train,2,925.55,0.447,0.485,0.441,0.404
115,0.39416999999999996,2025-09-23 07:26:11,costar,early,train,2,923.83,0.465,0.497,0.441,0.412
116,0.3637,2025-09-23 07:26:12,costar,early,train,2,922.3,0.442,0.481,0.442,0.402
117,0.37047,2025-09-23 07:26:13,costar,early,train,2,940.53,0.46,0.493,0.441,0.41
118,0.36916000000000004,2025-09-23 07:26:14,costar,early,train,2,927.84,0.45,0.486,0.442,0.405
119,0.3740599999999999,2025-09-23 07:26:15,costar,early,train,2,929.94,0.455,0.49,0.441,0.408
120,0.29172000000000003,2025-09-23 07:26:16,costar,early,train,2,951.28,0.414,0.464,0.44,0.389
121,0.2680699999999999,2025-09-23 07:26:17,costar,early,train,2,1034.93,0.455,0.491,0.44,0.408
122,0.26093000000000016,2025-09-23 07:26:18,costar,early,train,2,1027.07,0.445,0.484,0.44,0.403
123,0.32966,2025-09-23 07:26:19,costar,early,train,2,937.34,0.429,0.473,0.442,0.396
124,0.26369000000000015,2025-09-23 07:26:20,costar,early,train,2,980.31,0.414,0.462,0.442,0.388
125,0.3507000000000001,2025-09-23 07:26:21,costar,early,train,2,941.3,0.446,0.484,0.442,0.404
126,0.2563900000000001,2025-09-23 07:26:22,costar,early,train,2,1051.61,0.457,0.491,0.442,0.409
127,0.33398,2025-09-23 07:26:23,costar,early,train,2,931.02,0.428,0.472,0.442,0.395
128,0.3692500000000001,2025-09-23 07:26:23,costar,early,train,2,930.75,0.453,0.488,0.441,0.406
129,0.25328999999999996,2025-09-23 07:26:25,costar,early,train,2,1039.71,0.447,0.484,0.442,0.404
130,0.36477000000000004,2025-09-23 07:26:25,costar,early,train,2,931.23,0.449,0.486,0.442,0.405
131,0.28709999999999997,2025-09-23 07:26:26,costar,early,train,2,956.9,0.415,0.464,0.44,0.389
132,0.37025,2025-09-23 07:26:27,costar,early,train,2,939.75,0.46,0.494,0.44,0.41
133,0.30858,2025-09-23 07:26:28,costar,early,train,2,946.42,0.421,0.467,0.442,0.392
134,0.3544900000000001,2025-09-23 07:26:29,costar,early,train,2,935.51,0.445,0.483,0.442,0.403
135,0.37293,2025-09-23 07:26:30,costar,early,train,2,927.07,0.452,0.487,0.442,0.406
136,0.3642000000000001,2025-09-23 07:26:31,costar,early,train,2,932.8,0.45,0.486,0.442,0.405
137,0.37629,2025-09-23 07:26:32,costar,early,train,2,922.71,0.451,0.487,0.442,0.406
138,0.37607000000000007,2025-09-23 07:26:33,costar,early,train,2,926.93,0.454,0.489,0.442,0.407
139,0.3744600000000001,2025-09-23 07:26:34,costar,early,train,2,921.54,0.449,0.486,0.442,0.405
140,0.36575,2025-09-23 07:26:35,costar,early,train,2,928.25,0.448,0.485,0.442,0.404
141,0.2782400000000001,2025-09-23 07:26:36,costar,early,train,2,950.76,0.405,0.458,0.44,0.384
142,0.37017999999999995,2025-09-23 07:26:37,costar,early,train,2,926.82,0.451,0.488,0.44,0.406
