episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.4396299999999999,2025-09-28 11:47:43,costar,final,train,1,937.37,0.443,0.707,0.568,0.366
2,0.40776999999999997,2025-09-28 11:47:44,costar,final,train,1,932.23,0.418,0.685,0.567,0.355
3,0.4449699999999999,2025-09-28 11:47:45,costar,final,train,1,923.03,0.437,0.701,0.568,0.363
4,0.35902999999999985,2025-09-28 11:47:46,costar,final,train,1,974.97,0.413,0.679,0.568,0.353
5,0.43881999999999993,2025-09-28 11:47:47,costar,final,train,1,925.18,0.434,0.699,0.568,0.362
6,0.45013,2025-09-28 11:47:48,costar,final,train,1,928.87,0.445,0.709,0.568,0.366
7,0.34168999999999994,2025-09-28 11:47:49,costar,final,train,1,961.31,0.393,0.662,0.566,0.344
8,0.4288499999999999,2025-09-28 11:47:50,costar,final,train,1,927.15,0.431,0.698,0.565,0.36
9,0.42064,2025-09-28 11:47:50,costar,final,train,1,927.36,0.425,0.693,0.565,0.358
10,0.38495,2025-09-28 11:47:51,costar,final,train,1,939.05,0.407,0.674,0.567,0.35
11,0.3125499999999999,2025-09-28 11:47:52,costar,final,train,1,1046.45,0.431,0.697,0.567,0.361
12,0.4064699999999999,2025-09-28 11:47:53,costar,final,train,1,935.53,0.42,0.687,0.566,0.356
13,0.45110999999999996,2025-09-28 11:47:54,costar,final,train,1,932.89,0.449,0.714,0.567,0.368
14,0.43370000000000003,2025-09-28 11:47:55,costar,final,train,1,937.3,0.44,0.706,0.567,0.364
15,0.4210999999999999,2025-09-28 11:47:56,costar,final,train,1,948.9,0.439,0.705,0.567,0.364
16,0.4405399999999999,2025-09-28 11:47:57,costar,final,train,1,926.46,0.438,0.704,0.566,0.363
17,0.4362699999999999,2025-09-28 11:47:58,costar,final,train,1,926.73,0.435,0.701,0.566,0.362
18,0.35341999999999985,2025-09-28 11:47:59,costar,final,train,1,954.58,0.398,0.668,0.564,0.346
19,0.4148599999999999,2025-09-28 11:48:00,costar,final,train,1,930.14,0.424,0.693,0.564,0.357
20,0.3551599999999998,2025-09-28 11:48:01,costar,final,train,1,969.84,0.408,0.676,0.566,0.351
21,0.4290399999999999,2025-09-28 11:48:02,costar,final,train,1,935.96,0.436,0.702,0.566,0.363
22,0.41755,2025-09-28 11:48:03,costar,final,train,1,927.45,0.422,0.69,0.566,0.357
23,0.42696,2025-09-28 11:48:04,costar,final,train,1,938.04,0.437,0.704,0.565,0.363
24,0.4377799999999999,2025-09-28 11:48:05,costar,final,train,1,930.22,0.439,0.705,0.565,0.364
25,0.35695999999999983,2025-09-28 11:48:06,costar,final,train,1,975.04,0.413,0.68,0.566,0.353
26,0.3644399999999999,2025-09-28 11:48:07,costar,final,train,1,969.56,0.414,0.681,0.567,0.353
27,0.43471,2025-09-28 11:48:08,costar,final,train,1,934.29,0.439,0.705,0.566,0.364
28,0.3591,2025-09-28 11:48:08,costar,final,train,1,952.9,0.4,0.67,0.565,0.347
29,0.43300999999999995,2025-09-28 11:48:09,costar,final,train,1,924.99,0.433,0.701,0.564,0.361
30,0.4343599999999999,2025-09-28 11:48:10,costar,final,train,1,926.64,0.435,0.703,0.564,0.362
31,0.39673,2025-09-28 11:48:11,costar,final,train,1,943.27,0.418,0.685,0.567,0.355
32,0.3337899999999999,2025-09-28 11:48:12,costar,final,train,1,977.21,0.398,0.666,0.567,0.346
33,0.40723,2025-09-28 11:48:13,costar,final,train,1,945.77,0.427,0.693,0.567,0.359
34,0.40384999999999993,2025-09-28 11:48:14,costar,final,train,1,935.15,0.418,0.685,0.566,0.355
35,0.45574999999999993,2025-09-28 11:48:15,costar,final,train,1,925.25,0.448,0.713,0.566,0.367
36,0.41769,2025-09-28 11:48:16,costar,final,train,1,935.31,0.428,0.695,0.566,0.359
37,0.43129999999999985,2025-09-28 11:48:17,costar,final,train,1,923.7,0.429,0.696,0.566,0.36
38,0.35912999999999995,2025-09-28 11:48:18,costar,final,train,1,949.87,0.396,0.664,0.567,0.346
39,0.2561599999999999,2025-09-28 11:48:19,costar,final,train,1,977.84,0.345,0.617,0.565,0.324
40,0.4248099999999998,2025-09-28 11:48:20,costar,final,train,1,932.19,0.432,0.7,0.564,0.361
41,0.4164199999999999,2025-09-28 11:48:21,costar,final,train,1,932.58,0.426,0.694,0.565,0.358
42,0.39127999999999985,2025-09-28 11:48:22,costar,final,train,1,944.72,0.416,0.683,0.566,0.354
43,0.4501699999999999,2025-09-28 11:48:23,costar,final,train,1,924.83,0.443,0.709,0.566,0.366
44,0.43722999999999995,2025-09-28 11:48:23,costar,final,train,1,921.77,0.432,0.699,0.566,0.361
45,0.4223499999999999,2025-09-28 11:48:24,costar,final,train,1,933.65,0.431,0.698,0.565,0.36
46,0.4478999999999999,2025-09-28 11:48:25,costar,final,train,1,927.1,0.444,0.71,0.565,0.366
47,0.4350899999999999,2025-09-28 11:48:26,costar,final,train,1,923.91,0.432,0.698,0.566,0.361
48,0.43375999999999987,2025-09-28 11:48:27,costar,final,train,1,921.24,0.429,0.696,0.566,0.36
49,0.43532,2025-09-28 11:48:28,costar,final,train,1,928.68,0.436,0.703,0.565,0.363
