episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.47635999999999995,2025-09-25 06:15:34,costar,mid,train,1,931.64,0.45,0.696,0.589,0.369
2,0.43438,2025-09-25 06:15:34,costar,mid,train,1,936.62,0.425,0.673,0.588,0.358
3,0.4672999999999999,2025-09-25 06:15:35,costar,mid,train,1,933.7,0.446,0.692,0.588,0.367
4,0.47040999999999994,2025-09-25 06:15:36,costar,mid,train,1,937.59,0.451,0.697,0.588,0.369
5,0.47137,2025-09-25 06:15:37,costar,mid,train,1,937.63,0.452,0.698,0.588,0.369
6,0.4537599999999999,2025-09-25 06:15:38,costar,mid,train,1,927.24,0.432,0.679,0.588,0.361
7,0.3694299999999998,2025-09-25 06:15:39,costar,mid,train,1,975.57,0.408,0.657,0.587,0.35
8,0.4675599999999999,2025-09-25 06:15:40,costar,mid,train,1,936.44,0.449,0.696,0.587,0.368
9,0.44173000000000007,2025-09-25 06:15:41,costar,mid,train,1,946.27,0.437,0.684,0.588,0.363
10,0.45534,2025-09-25 06:15:42,costar,mid,train,1,943.66,0.444,0.69,0.589,0.366
11,0.49462,2025-09-25 06:15:43,costar,mid,train,1,931.38,0.463,0.707,0.589,0.374
12,0.42533,2025-09-25 06:15:44,costar,mid,train,1,969.67,0.441,0.687,0.589,0.365
13,0.45276000000000005,2025-09-25 06:15:45,costar,mid,train,1,948.24,0.445,0.691,0.589,0.367
14,0.4714,2025-09-25 06:15:46,costar,mid,train,1,954.6,0.463,0.708,0.589,0.374
15,0.4765,2025-09-25 06:15:47,costar,mid,train,1,934.5,0.452,0.698,0.589,0.37
16,0.42311,2025-09-25 06:15:48,costar,mid,train,1,941.89,0.42,0.667,0.589,0.356
17,0.35812,2025-09-25 06:15:49,costar,mid,train,1,983.88,0.405,0.654,0.588,0.349
18,0.33483,2025-09-25 06:15:50,costar,mid,train,1,975.17,0.382,0.632,0.588,0.34
19,0.46135999999999994,2025-09-25 06:15:51,costar,mid,train,1,946.64,0.452,0.699,0.587,0.369
20,0.39315,2025-09-25 06:15:52,costar,mid,train,1,944.85,0.401,0.65,0.589,0.348
