episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.41413999999999995,2025-09-23 13:44:33,dreamerv3,early,train,1,929.86,0.427,0.701,0.558,0.359
2,0.3078800000000001,2025-09-23 13:44:34,dreamerv3,early,train,1,961.12,0.377,0.656,0.555,0.337
3,0.35953000000000007,2025-09-23 13:44:35,dreamerv3,early,train,1,929.47,0.391,0.67,0.555,0.343
4,0.37201000000000006,2025-09-23 13:44:36,dreamerv3,early,train,1,927.99,0.398,0.676,0.555,0.347
5,0.3868300000000001,2025-09-23 13:44:37,dreamerv3,early,train,1,943.17,0.418,0.693,0.557,0.355
6,0.39518,2025-09-23 13:44:38,dreamerv3,early,train,1,932.82,0.416,0.69,0.558,0.354
7,0.42174000000000006,2025-09-23 13:44:39,dreamerv3,early,train,1,928.26,0.431,0.705,0.558,0.361
8,0.37361999999999995,2025-09-23 13:44:40,dreamerv3,early,train,1,957.38,0.419,0.694,0.557,0.355
9,0.41289,2025-09-23 13:44:40,dreamerv3,early,train,1,928.11,0.426,0.7,0.557,0.358
10,0.4018999999999999,2025-09-23 13:44:41,dreamerv3,early,train,1,931.1,0.42,0.695,0.557,0.356
11,0.39980000000000004,2025-09-23 13:44:42,dreamerv3,early,train,1,922.2,0.412,0.687,0.558,0.352
12,0.40935,2025-09-23 13:44:43,dreamerv3,early,train,1,924.65,0.42,0.694,0.558,0.356
13,0.3277100000000001,2025-09-23 13:44:44,dreamerv3,early,train,1,947.29,0.38,0.658,0.556,0.339
14,0.39936000000000005,2025-09-23 13:44:45,dreamerv3,early,train,1,932.64,0.42,0.697,0.556,0.356
15,0.39137999999999995,2025-09-23 13:44:46,dreamerv3,early,train,1,931.62,0.413,0.688,0.557,0.353
16,0.3773200000000001,2025-09-23 13:44:47,dreamerv3,early,train,1,934.68,0.405,0.68,0.558,0.349
17,0.43323000000000006,2025-09-23 13:44:48,dreamerv3,early,train,1,926.77,0.439,0.713,0.557,0.364
18,0.4329,2025-09-23 13:44:49,dreamerv3,early,train,1,927.1,0.438,0.712,0.558,0.364
19,0.4143500000000001,2025-09-23 13:44:50,dreamerv3,early,train,1,933.65,0.43,0.704,0.558,0.36
20,0.40419000000000016,2025-09-23 13:44:51,dreamerv3,early,train,1,929.81,0.42,0.695,0.558,0.356
21,0.4215800000000001,2025-09-23 13:44:52,dreamerv3,early,train,1,925.42,0.429,0.703,0.558,0.36
22,0.43209000000000003,2025-09-23 13:44:53,dreamerv3,early,train,1,928.91,0.439,0.712,0.558,0.364
23,0.32543000000000005,2025-09-23 13:44:54,dreamerv3,early,train,1,956.57,0.385,0.663,0.556,0.341
