episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.20313999999999993,2025-09-29 12:53:14,dreamerv3,final,train,2,940.86,0.367,0.457,0.41,0.367
2,0.2505,2025-09-29 12:53:15,dreamerv3,final,train,2,937.5,0.397,0.477,0.41,0.381
3,0.27307,2025-09-29 12:53:16,dreamerv3,final,train,2,933.93,0.41,0.486,0.41,0.387
4,0.2872599999999999,2025-09-29 12:53:17,dreamerv3,final,train,2,926.74,0.415,0.489,0.41,0.389
5,0.28875,2025-09-29 12:53:18,dreamerv3,final,train,2,935.25,0.422,0.494,0.41,0.392
6,0.28783,2025-09-29 12:53:19,dreamerv3,final,train,2,929.17,0.417,0.49,0.41,0.39
7,0.20200999999999997,2025-09-29 12:53:19,dreamerv3,final,train,2,953.99,0.376,0.464,0.409,0.371
8,0.25274,2025-09-29 12:53:20,dreamerv3,final,train,2,926.26,0.392,0.475,0.409,0.378
9,0.2560399999999999,2025-09-29 12:53:21,dreamerv3,final,train,2,947.96,0.409,0.486,0.409,0.386
10,0.23523,2025-09-29 12:53:22,dreamerv3,final,train,2,939.77,0.389,0.472,0.409,0.377
11,0.24896000000000001,2025-09-29 12:53:23,dreamerv3,final,train,2,963.04,0.414,0.489,0.409,0.389
12,0.28873,2025-09-29 12:53:24,dreamerv3,final,train,2,926.27,0.416,0.49,0.41,0.389
13,0.17031999999999997,2025-09-29 12:53:25,dreamerv3,final,train,2,950.68,0.352,0.448,0.41,0.359
14,0.20571,2025-09-29 12:53:26,dreamerv3,final,train,2,951.29,0.377,0.464,0.409,0.371
15,0.3070299999999999,2025-09-29 12:53:27,dreamerv3,final,train,2,928.97,0.43,0.499,0.41,0.396
16,0.29983999999999994,2025-09-29 12:53:28,dreamerv3,final,train,2,926.16,0.423,0.494,0.41,0.393
17,0.30113000000000006,2025-09-29 12:53:29,dreamerv3,final,train,2,924.87,0.424,0.495,0.409,0.393
18,0.20634000000000002,2025-09-29 12:53:30,dreamerv3,final,train,2,957.66,0.382,0.469,0.408,0.374
19,0.2873400000000001,2025-09-29 12:53:31,dreamerv3,final,train,2,932.66,0.42,0.493,0.409,0.391
20,0.2459400000000001,2025-09-29 12:53:32,dreamerv3,final,train,2,943.06,0.399,0.479,0.409,0.381
21,0.25367,2025-09-29 12:53:33,dreamerv3,final,train,2,935.33,0.398,0.478,0.41,0.381
22,0.24446000000000007,2025-09-29 12:53:34,dreamerv3,final,train,2,948.54,0.4,0.478,0.411,0.382
23,0.26421999999999995,2025-09-29 12:53:35,dreamerv3,final,train,2,953.78,0.417,0.49,0.411,0.39
24,0.2798,2025-09-29 12:53:35,dreamerv3,final,train,2,936.2,0.416,0.489,0.411,0.389
25,0.29466999999999993,2025-09-29 12:53:36,dreamerv3,final,train,2,932.33,0.423,0.494,0.411,0.393
26,0.2840700000000001,2025-09-29 12:53:37,dreamerv3,final,train,2,929.93,0.415,0.489,0.41,0.389
27,0.29458999999999996,2025-09-29 12:53:38,dreamerv3,final,train,2,926.41,0.42,0.491,0.41,0.391
28,0.28614999999999996,2025-09-29 12:53:39,dreamerv3,final,train,2,927.85,0.415,0.489,0.41,0.389
29,0.16551,2025-09-29 12:53:40,dreamerv3,final,train,2,969.49,0.362,0.455,0.409,0.364
30,0.26062,2025-09-29 12:53:41,dreamerv3,final,train,2,928.38,0.399,0.479,0.409,0.381
31,0.24876000000000004,2025-09-29 12:53:42,dreamerv3,final,train,2,944.24,0.401,0.479,0.41,0.382
32,0.28119999999999995,2025-09-29 12:53:43,dreamerv3,final,train,2,927.8,0.412,0.486,0.41,0.387
33,0.29322,2025-09-29 12:53:44,dreamerv3,final,train,2,928.78,0.42,0.491,0.411,0.391
34,0.28577,2025-09-29 12:53:45,dreamerv3,final,train,2,937.23,0.421,0.492,0.41,0.392
35,0.2856499999999999,2025-09-29 12:53:46,dreamerv3,final,train,2,939.35,0.423,0.493,0.41,0.392
36,0.28338,2025-09-29 12:53:47,dreamerv3,final,train,2,928.62,0.413,0.487,0.411,0.388
37,0.27144000000000007,2025-09-29 12:53:48,dreamerv3,final,train,2,923.56,0.402,0.48,0.41,0.383
38,0.26475999999999994,2025-09-29 12:53:49,dreamerv3,final,train,2,927.24,0.4,0.479,0.41,0.382
39,0.17325999999999991,2025-09-29 12:53:50,dreamerv3,final,train,2,970.74,0.368,0.459,0.409,0.367
40,0.2974600000000001,2025-09-29 12:53:50,dreamerv3,final,train,2,930.54,0.425,0.496,0.409,0.394
41,0.25031,2025-09-29 12:53:51,dreamerv3,final,train,2,940.69,0.4,0.48,0.409,0.382
42,0.22889999999999994,2025-09-29 12:53:52,dreamerv3,final,train,2,963.1,0.4,0.478,0.41,0.382
43,0.2833799999999999,2025-09-29 12:53:53,dreamerv3,final,train,2,926.62,0.412,0.487,0.41,0.388
44,0.25467,2025-09-29 12:53:54,dreamerv3,final,train,2,943.33,0.404,0.481,0.41,0.384
45,0.23958000000000007,2025-09-29 12:53:55,dreamerv3,final,train,2,936.42,0.389,0.471,0.41,0.377
46,0.27623000000000003,2025-09-29 12:53:56,dreamerv3,final,train,2,930.77,0.41,0.486,0.41,0.387
47,0.2820599999999998,2025-09-29 12:53:57,dreamerv3,final,train,2,931.94,0.415,0.489,0.41,0.389
48,0.19272000000000006,2025-09-29 12:53:58,dreamerv3,final,train,2,1034.28,0.424,0.495,0.41,0.393
49,0.28699,2025-09-29 12:53:59,dreamerv3,final,train,2,942.01,0.425,0.495,0.41,0.394
