episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.49119999999999997,2025-09-25 19:27:18,dreamerv3,mid,train,1,976.8,0.467,0.68,0.625,0.376
2,0.49033000000000004,2025-09-25 19:27:19,dreamerv3,mid,train,1,991.67,0.477,0.689,0.625,0.38
3,0.55177,2025-09-25 19:27:20,dreamerv3,mid,train,1,946.23,0.488,0.7,0.625,0.385
4,0.54601,2025-09-25 19:27:21,dreamerv3,mid,train,1,946.99,0.485,0.697,0.625,0.383
5,0.55425,2025-09-25 19:27:22,dreamerv3,mid,train,1,944.75,0.489,0.701,0.625,0.385
6,0.57,2025-09-25 19:27:23,dreamerv3,mid,train,1,929.0,0.489,0.701,0.625,0.385
7,0.5354400000000001,2025-09-25 19:27:24,dreamerv3,mid,train,1,929.56,0.466,0.679,0.624,0.375
8,0.56948,2025-09-25 19:27:25,dreamerv3,mid,train,1,935.52,0.494,0.706,0.624,0.387
9,0.49706,2025-09-25 19:27:26,dreamerv3,mid,train,1,951.94,0.455,0.671,0.623,0.371
10,0.56232,2025-09-25 19:27:27,dreamerv3,mid,train,1,933.68,0.489,0.703,0.622,0.385
11,0.55345,2025-09-25 19:27:28,dreamerv3,mid,train,1,934.55,0.483,0.698,0.622,0.383
12,0.50955,2025-09-25 19:27:29,dreamerv3,mid,train,1,950.45,0.463,0.678,0.623,0.374
13,0.5449700000000001,2025-09-25 19:27:29,dreamerv3,mid,train,1,938.03,0.479,0.694,0.623,0.381
14,0.57859,2025-09-25 19:27:30,dreamerv3,mid,train,1,925.41,0.494,0.707,0.623,0.387
15,0.58475,2025-09-25 19:27:31,dreamerv3,mid,train,1,922.25,0.496,0.709,0.623,0.388
16,0.5603400000000001,2025-09-25 19:27:32,dreamerv3,mid,train,1,925.66,0.481,0.695,0.623,0.382
17,0.5899099999999999,2025-09-25 19:27:33,dreamerv3,mid,train,1,923.09,0.5,0.714,0.623,0.39
18,0.56112,2025-09-25 19:27:34,dreamerv3,mid,train,1,935.88,0.489,0.703,0.623,0.385
19,0.56369,2025-09-25 19:27:35,dreamerv3,mid,train,1,936.31,0.492,0.706,0.622,0.386
20,0.4966,2025-09-25 19:27:36,dreamerv3,mid,train,1,944.4,0.451,0.669,0.621,0.369
21,0.54974,2025-09-25 19:27:37,dreamerv3,mid,train,1,937.26,0.483,0.699,0.621,0.383
22,0.5562,2025-09-25 19:27:38,dreamerv3,mid,train,1,933.8,0.485,0.699,0.622,0.383
23,0.52529,2025-09-25 19:27:39,dreamerv3,mid,train,1,936.71,0.465,0.681,0.622,0.375
24,0.5664199999999999,2025-09-25 19:27:40,dreamerv3,mid,train,1,927.58,0.487,0.7,0.623,0.384
25,0.56672,2025-09-25 19:27:41,dreamerv3,mid,train,1,932.28,0.49,0.704,0.623,0.386
26,0.53959,2025-09-25 19:27:42,dreamerv3,mid,train,1,933.41,0.472,0.687,0.623,0.378
27,0.42567999999999995,2025-09-25 19:27:43,dreamerv3,mid,train,1,974.32,0.421,0.639,0.623,0.356
28,0.55862,2025-09-25 19:27:43,dreamerv3,mid,train,1,927.38,0.481,0.695,0.623,0.382
