episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.41462999999999983,2025-09-22 14:07:26,hydra,early,train,1,936.37,0.407,0.65,0.594,0.35
2,0.4378500000000001,2025-09-22 14:07:27,hydra,early,train,1,941.15,0.427,0.67,0.593,0.359
3,0.46030999999999994,2025-09-22 14:07:28,hydra,early,train,1,931.69,0.435,0.676,0.595,0.362
4,0.49823999999999996,2025-09-22 14:07:29,hydra,early,train,1,929.76,0.46,0.699,0.595,0.373
5,0.5229299999999999,2025-09-22 14:07:30,hydra,early,train,1,919.07,0.47,0.709,0.595,0.377
6,0.50648,2025-09-22 14:07:31,hydra,early,train,1,925.52,0.462,0.701,0.596,0.374
7,0.5084299999999999,2025-09-22 14:07:32,hydra,early,train,1,926.57,0.464,0.703,0.596,0.375
8,0.49010999999999993,2025-09-22 14:07:33,hydra,early,train,1,951.89,0.47,0.709,0.595,0.377
9,0.4671499999999999,2025-09-22 14:07:34,hydra,early,train,1,934.85,0.442,0.682,0.595,0.365
10,0.49974,2025-09-22 14:07:35,hydra,early,train,1,924.26,0.457,0.697,0.595,0.372
11,0.21364999999999995,2025-09-22 14:07:36,hydra,early,train,1,1004.35,0.316,0.567,0.591,0.311
12,0.4300599999999999,2025-09-22 14:07:37,hydra,early,train,1,940.94,0.423,0.668,0.591,0.357
13,0.37327,2025-09-22 14:07:38,hydra,early,train,1,960.73,0.397,0.644,0.591,0.346
14,0.3712599999999999,2025-09-22 14:07:39,hydra,early,train,1,973.74,0.403,0.648,0.593,0.349
15,0.39225,2025-09-22 14:07:40,hydra,early,train,1,1027.75,0.456,0.698,0.593,0.371
16,0.47925,2025-09-22 14:07:41,hydra,early,train,1,930.75,0.448,0.69,0.594,0.368
17,0.21249000000000012,2025-09-22 14:07:42,hydra,early,train,1,1025.51,0.332,0.585,0.588,0.318
18,0.18964999999999982,2025-09-22 14:07:43,hydra,early,train,1,982.35,0.287,0.545,0.586,0.299
19,0.31527,2025-09-22 14:07:44,hydra,early,train,1,957.73,0.359,0.614,0.584,0.33
20,0.3412899999999999,2025-09-22 14:07:45,hydra,early,train,1,969.71,0.387,0.642,0.582,0.342
21,0.30119999999999997,2025-09-22 14:07:46,hydra,early,train,1,961.8,0.354,0.612,0.581,0.328
22,0.35829999999999995,2025-09-22 14:07:46,hydra,early,train,1,968.7,0.4,0.656,0.58,0.347
23,0.45081999999999994,2025-09-22 14:07:47,hydra,early,train,1,926.18,0.435,0.689,0.58,0.362
24,0.3958099999999999,2025-09-22 14:07:48,hydra,early,train,1,960.19,0.419,0.673,0.582,0.355
25,0.3378899999999999,2025-09-22 14:07:49,hydra,early,train,1,984.11,0.395,0.65,0.582,0.345
26,0.3831399999999999,2025-09-22 14:07:50,hydra,early,train,1,951.86,0.404,0.658,0.582,0.349
27,0.33373,2025-09-22 14:07:51,hydra,early,train,1,969.27,0.382,0.637,0.582,0.339
28,0.33442999999999995,2025-09-22 14:07:52,hydra,early,train,1,980.57,0.39,0.645,0.582,0.343
29,0.30951,2025-09-22 14:07:53,hydra,early,train,1,974.49,0.368,0.625,0.582,0.334
30,0.4248099999999999,2025-09-22 14:07:54,hydra,early,train,1,940.19,0.425,0.678,0.582,0.358
31,0.47494,2025-09-22 14:07:55,hydra,early,train,1,930.06,0.453,0.704,0.582,0.37
32,0.35458,2025-09-22 14:07:56,hydra,early,train,1,968.42,0.397,0.654,0.58,0.346
33,0.45625,2025-09-22 14:07:57,hydra,early,train,1,923.75,0.437,0.69,0.58,0.363
34,0.42661000000000004,2025-09-22 14:07:58,hydra,early,train,1,947.39,0.433,0.687,0.58,0.361
35,0.11274,2025-09-22 14:07:59,hydra,early,train,1,1078.26,0.306,0.569,0.578,0.307
36,0.36939999999999995,2025-09-22 14:08:00,hydra,early,train,1,968.6,0.408,0.665,0.579,0.351
37,0.07179999999999981,2025-09-22 14:08:01,hydra,early,train,1,1041.2,0.252,0.519,0.577,0.284
38,0.062279999999999947,2025-09-22 14:08:02,hydra,early,train,1,1055.72,0.255,0.522,0.577,0.286
39,0.26504999999999984,2025-09-22 14:08:03,hydra,early,train,1,1001.95,0.36,0.621,0.577,0.33
40,0.4550299999999999,2025-09-22 14:08:04,hydra,early,train,1,934.97,0.446,0.702,0.577,0.367
41,0.40764999999999996,2025-09-22 14:08:05,hydra,early,train,1,942.35,0.417,0.674,0.578,0.355
42,0.36998,2025-09-22 14:08:06,hydra,early,train,1,959.02,0.403,0.662,0.577,0.349
43,0.3866499999999998,2025-09-22 14:08:07,hydra,early,train,1,962.35,0.418,0.677,0.576,0.355
44,0.2001,2025-09-22 14:08:08,hydra,early,train,1,1017.9,0.326,0.59,0.576,0.316
45,0.32452999999999993,2025-09-22 14:08:09,hydra,early,train,1,977.47,0.384,0.643,0.578,0.34
46,0.4016299999999998,2025-09-22 14:08:10,hydra,early,train,1,953.37,0.42,0.676,0.579,0.356
47,0.40911999999999993,2025-09-22 14:08:11,hydra,early,train,1,943.88,0.419,0.674,0.579,0.355
48,0.43064,2025-09-22 14:08:12,hydra,early,train,1,941.36,0.425,0.672,0.589,0.358
49,0.4840299999999999,2025-09-22 14:08:13,hydra,early,train,1,932.97,0.456,0.7,0.59,0.371
50,0.49104,2025-09-22 14:08:14,hydra,early,train,1,923.96,0.455,0.699,0.59,0.37
51,0.4655099999999999,2025-09-22 14:08:15,hydra,early,train,1,940.49,0.448,0.693,0.59,0.368
52,0.43667999999999996,2025-09-22 14:08:15,hydra,early,train,1,938.32,0.427,0.674,0.589,0.359
53,0.42584999999999995,2025-09-22 14:08:16,hydra,early,train,1,948.15,0.427,0.674,0.588,0.359
54,0.46686,2025-09-22 14:08:17,hydra,early,train,1,928.14,0.441,0.687,0.589,0.365
55,0.44297,2025-09-22 14:08:18,hydra,early,train,1,947.03,0.437,0.682,0.59,0.363
56,0.5065500000000001,2025-09-22 14:08:19,hydra,early,train,1,927.45,0.467,0.71,0.591,0.376
57,0.5004299999999999,2025-09-22 14:08:20,hydra,early,train,1,920.57,0.458,0.701,0.591,0.372
58,0.5024199999999999,2025-09-22 14:08:21,hydra,early,train,1,926.58,0.463,0.705,0.592,0.374
59,0.51061,2025-09-22 14:08:22,hydra,early,train,1,925.39,0.468,0.71,0.592,0.376
60,0.49999999999999994,2025-09-22 14:08:23,hydra,early,train,1,928.0,0.463,0.706,0.591,0.374
61,0.49465,2025-09-22 14:08:24,hydra,early,train,1,937.35,0.466,0.709,0.591,0.375
62,0.48774,2025-09-22 14:08:25,hydra,early,train,1,932.26,0.457,0.701,0.591,0.372
63,0.40354999999999985,2025-09-22 14:08:26,hydra,early,train,1,951.45,0.413,0.661,0.589,0.353
64,0.47840999999999995,2025-09-22 14:08:27,hydra,early,train,1,921.59,0.445,0.691,0.589,0.366
65,0.47774,2025-09-22 14:08:28,hydra,early,train,1,932.26,0.452,0.698,0.589,0.369
66,0.46603999999999995,2025-09-22 14:08:29,hydra,early,train,1,932.96,0.443,0.687,0.591,0.365
67,0.5108999999999999,2025-09-22 14:08:29,hydra,early,train,1,920.1,0.465,0.707,0.591,0.375
68,0.4987000000000001,2025-09-22 14:08:30,hydra,early,train,1,925.3,0.46,0.703,0.591,0.373
69,0.5057100000000001,2025-09-22 14:08:31,hydra,early,train,1,925.29,0.465,0.707,0.591,0.375
70,0.50136,2025-09-22 14:08:32,hydra,early,train,1,919.64,0.458,0.701,0.591,0.372
71,0.51383,2025-09-22 14:08:33,hydra,early,train,1,917.17,0.465,0.708,0.591,0.375
72,0.37829999999999997,2025-09-22 14:08:34,hydra,early,train,1,1030.7,0.45,0.693,0.591,0.368
73,0.5022899999999999,2025-09-22 14:08:35,hydra,early,train,1,923.71,0.461,0.704,0.592,0.373
74,0.4014500000000001,2025-09-22 14:08:36,hydra,early,train,1,959.55,0.417,0.665,0.589,0.355
75,0.4651,2025-09-22 14:08:37,hydra,early,train,1,930.9,0.442,0.688,0.589,0.365
76,0.44882,2025-09-22 14:08:38,hydra,early,train,1,953.18,0.446,0.692,0.589,0.367
77,0.4371900000000001,2025-09-22 14:08:39,hydra,early,train,1,931.81,0.422,0.667,0.591,0.356
78,0.4340099999999999,2025-09-22 14:08:40,hydra,early,train,1,938.99,0.424,0.669,0.591,0.358
79,0.4113,2025-09-22 14:08:41,hydra,early,train,1,962.7,0.426,0.672,0.59,0.358
80,0.44492,2025-09-22 14:08:42,hydra,early,train,1,941.08,0.434,0.679,0.59,0.362
81,0.48238999999999993,2025-09-22 14:08:43,hydra,early,train,1,930.61,0.453,0.698,0.59,0.37
82,0.47511,2025-09-22 14:08:44,hydra,early,train,1,941.89,0.456,0.701,0.59,0.371
83,0.49562999999999996,2025-09-22 14:08:45,hydra,early,train,1,924.37,0.458,0.702,0.59,0.372
84,0.47074999999999995,2025-09-22 14:08:45,hydra,early,train,1,927.25,0.443,0.688,0.589,0.366
