episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.3637999999999999,2025-09-26 13:48:49,hydra,final,train,0,960.2,0.439,0.78,0.454,0.431
2,0.28546000000000005,2025-09-26 13:48:50,hydra,final,train,0,973.54,0.396,0.735,0.454,0.409
3,0.4269,2025-09-26 13:48:51,hydra,final,train,0,927.1,0.458,0.8,0.455,0.441
4,0.38271999999999995,2025-09-26 13:48:52,hydra,final,train,0,940.28,0.438,0.778,0.455,0.43
5,0.40238,2025-09-26 13:48:53,hydra,final,train,0,928.62,0.443,0.783,0.455,0.433
6,0.3915800000000001,2025-09-26 13:48:54,hydra,final,train,0,930.42,0.438,0.779,0.454,0.43
7,0.41701000000000005,2025-09-26 13:48:55,hydra,final,train,0,921.99,0.448,0.789,0.455,0.436
8,0.38309,2025-09-26 13:48:56,hydra,final,train,0,928.91,0.43,0.77,0.455,0.427
9,0.39511,2025-09-26 13:48:57,hydra,final,train,0,929.89,0.439,0.779,0.455,0.431
10,0.34058999999999995,2025-09-26 13:48:58,hydra,final,train,0,954.41,0.42,0.76,0.454,0.421
11,0.40165,2025-09-26 13:48:58,hydra,final,train,0,928.35,0.443,0.785,0.454,0.433
12,0.38745,2025-09-26 13:48:59,hydra,final,train,0,934.55,0.438,0.779,0.454,0.43
13,0.3243400000000001,2025-09-26 13:49:00,hydra,final,train,0,960.66,0.412,0.751,0.455,0.418
14,0.38588,2025-09-26 13:49:01,hydra,final,train,0,948.12,0.445,0.784,0.455,0.434
15,0.3682899999999999,2025-09-26 13:49:02,hydra,final,train,0,947.71,0.432,0.771,0.456,0.428
16,0.40680999999999995,2025-09-26 13:49:03,hydra,final,train,0,927.19,0.445,0.785,0.455,0.434
17,0.40902,2025-09-26 13:49:04,hydra,final,train,0,933.98,0.451,0.792,0.455,0.437
18,0.39449000000000006,2025-09-26 13:49:05,hydra,final,train,0,930.51,0.439,0.779,0.455,0.431
19,0.39535000000000003,2025-09-26 13:49:06,hydra,final,train,0,929.65,0.439,0.779,0.455,0.431
20,0.41825000000000007,2025-09-26 13:49:07,hydra,final,train,0,930.75,0.455,0.795,0.455,0.439
21,0.3474600000000001,2025-09-26 13:49:08,hydra,final,train,0,946.54,0.419,0.759,0.454,0.421
22,0.39726,2025-09-26 13:49:09,hydra,final,train,0,936.74,0.446,0.788,0.454,0.434
23,0.38911,2025-09-26 13:49:10,hydra,final,train,0,937.89,0.441,0.783,0.454,0.432
24,0.3917000000000001,2025-09-26 13:49:11,hydra,final,train,0,929.3,0.436,0.776,0.455,0.43
25,0.3325800000000001,2025-09-26 13:49:12,hydra,final,train,0,946.42,0.401,0.725,0.466,0.412
26,0.40851,2025-09-26 13:49:13,hydra,final,train,0,941.49,0.448,0.775,0.466,0.436
27,0.4414900000000001,2025-09-26 13:49:13,hydra,final,train,0,931.51,0.464,0.792,0.466,0.443
28,0.43682000000000004,2025-09-26 13:49:14,hydra,final,train,0,926.18,0.457,0.785,0.466,0.44
29,0.45931,2025-09-26 13:49:15,hydra,final,train,0,923.69,0.47,0.799,0.466,0.447
30,0.40138999999999997,2025-09-26 13:49:16,hydra,final,train,0,933.61,0.438,0.765,0.466,0.431
31,0.414,2025-09-26 13:49:17,hydra,final,train,0,933.0,0.446,0.773,0.466,0.435
32,0.3198200000000001,2025-09-26 13:49:18,hydra,final,train,0,963.18,0.405,0.732,0.464,0.414
33,0.42914,2025-09-26 13:49:19,hydra,final,train,0,929.86,0.456,0.786,0.464,0.439
34,0.37012999999999996,2025-09-26 13:49:20,hydra,final,train,0,941.87,0.424,0.751,0.465,0.423
35,0.41953999999999997,2025-09-26 13:49:21,hydra,final,train,0,931.46,0.45,0.778,0.465,0.436
36,0.41702,2025-09-26 13:49:22,hydra,final,train,0,931.98,0.448,0.777,0.465,0.436
37,0.42285,2025-09-26 13:49:23,hydra,final,train,0,930.15,0.451,0.779,0.465,0.437
38,0.44754,2025-09-26 13:49:24,hydra,final,train,0,923.46,0.463,0.792,0.465,0.443
39,0.4014400000000001,2025-09-26 13:49:25,hydra,final,train,0,936.56,0.441,0.77,0.465,0.432
40,0.44588,2025-09-26 13:49:26,hydra,final,train,0,929.12,0.466,0.795,0.465,0.444
41,0.42305,2025-09-26 13:49:27,hydra,final,train,0,940.95,0.458,0.787,0.465,0.441
42,0.3491900000000001,2025-09-26 13:49:28,hydra,final,train,0,956.81,0.421,0.75,0.463,0.422
43,0.39718,2025-09-26 13:49:28,hydra,final,train,0,947.82,0.447,0.778,0.463,0.435
44,0.44111000000000006,2025-09-26 13:49:29,hydra,final,train,0,924.89,0.461,0.792,0.463,0.442
45,0.36694000000000015,2025-09-26 13:49:30,hydra,final,train,0,952.06,0.429,0.758,0.464,0.426
46,0.4193200000000001,2025-09-26 13:49:31,hydra,final,train,0,929.68,0.449,0.778,0.464,0.436
47,0.4434700000000001,2025-09-26 13:49:32,hydra,final,train,0,928.53,0.464,0.795,0.464,0.444
48,0.4237600000000001,2025-09-26 13:49:33,hydra,final,train,0,928.24,0.451,0.78,0.464,0.437
49,0.4253200000000001,2025-09-26 13:49:34,hydra,final,train,0,927.68,0.452,0.781,0.464,0.437
50,0.4274400000000001,2025-09-26 13:49:35,hydra,final,train,0,928.56,0.454,0.783,0.464,0.438
51,0.4381300000000001,2025-09-26 13:49:36,hydra,final,train,0,923.87,0.458,0.788,0.464,0.44
52,0.45124,2025-09-26 13:49:37,hydra,final,train,0,929.76,0.47,0.801,0.464,0.447
53,0.30877,2025-09-26 13:49:38,hydra,final,train,0,955.23,0.394,0.722,0.462,0.408
54,0.4185800000000001,2025-09-26 13:49:39,hydra,final,train,0,937.42,0.455,0.788,0.462,0.439
55,0.3126500000000001,2025-09-26 13:49:40,hydra,final,train,0,1042.35,0.454,0.787,0.462,0.439
56,0.38764,2025-09-26 13:49:41,hydra,final,train,0,930.36,0.429,0.759,0.463,0.426
57,0.42716000000000004,2025-09-26 13:49:42,hydra,final,train,0,935.84,0.459,0.79,0.463,0.441
58,0.42560000000000003,2025-09-26 13:49:43,hydra,final,train,0,933.4,0.456,0.787,0.463,0.44
59,0.41929999999999995,2025-09-26 13:49:43,hydra,final,train,0,925.7,0.447,0.777,0.463,0.435
60,0.3977000000000001,2025-09-26 13:49:44,hydra,final,train,0,945.3,0.446,0.776,0.463,0.434
61,0.30459,2025-09-26 13:49:45,hydra,final,train,0,968.41,0.399,0.727,0.463,0.411
62,0.42302,2025-09-26 13:49:46,hydra,final,train,0,933.98,0.456,0.788,0.462,0.439
63,0.42070000000000013,2025-09-26 13:49:47,hydra,final,train,0,927.3,0.45,0.781,0.462,0.436
64,0.29074,2025-09-26 13:49:48,hydra,final,train,0,977.26,0.397,0.727,0.461,0.41
65,0.44163,2025-09-26 13:49:49,hydra,final,train,0,923.37,0.462,0.796,0.461,0.442
66,0.3831699999999999,2025-09-26 13:49:50,hydra,final,train,0,945.83,0.437,0.768,0.462,0.43
67,0.42202999999999996,2025-09-26 13:49:51,hydra,final,train,0,937.97,0.458,0.79,0.462,0.44
68,0.34477999999999986,2025-09-26 13:49:52,hydra,final,train,0,961.22,0.421,0.75,0.463,0.422
69,0.38407000000000013,2025-09-26 13:49:53,hydra,final,train,0,966.93,0.452,0.784,0.462,0.437
70,0.40371000000000007,2025-09-26 13:49:54,hydra,final,train,0,933.29,0.442,0.774,0.462,0.433
71,0.40876000000000007,2025-09-26 13:49:55,hydra,final,train,0,933.24,0.446,0.778,0.462,0.434
72,0.41905,2025-09-26 13:49:56,hydra,final,train,0,930.95,0.451,0.783,0.462,0.437
73,0.40926,2025-09-26 13:49:57,hydra,final,train,0,935.74,0.448,0.78,0.462,0.435
74,0.32477,2025-09-26 13:49:58,hydra,final,train,0,956.23,0.406,0.737,0.461,0.414
75,0.3555599999999999,2025-09-26 13:49:59,hydra,final,train,0,973.44,0.438,0.772,0.46,0.431
76,0.40204,2025-09-26 13:50:00,hydra,final,train,0,929.96,0.44,0.774,0.46,0.432
77,0.3771200000000001,2025-09-26 13:50:01,hydra,final,train,0,945.88,0.434,0.766,0.461,0.428
78,0.43690999999999997,2025-09-26 13:50:01,hydra,final,train,0,931.09,0.464,0.797,0.461,0.443
79,0.45266,2025-09-26 13:50:02,hydra,final,train,0,921.34,0.467,0.8,0.462,0.445
80,0.43712,2025-09-26 13:50:03,hydra,final,train,0,927.88,0.461,0.794,0.462,0.442
81,0.44650999999999996,2025-09-26 13:50:04,hydra,final,train,0,932.49,0.47,0.803,0.462,0.447
82,0.4276400000000001,2025-09-26 13:50:05,hydra,final,train,0,931.36,0.458,0.791,0.461,0.44
83,0.43555000000000005,2025-09-26 13:50:06,hydra,final,train,0,926.45,0.46,0.793,0.461,0.441
84,0.41675999999999996,2025-09-26 13:50:07,hydra,final,train,0,926.24,0.447,0.779,0.461,0.435
85,0.3397999999999999,2025-09-26 13:50:08,hydra,final,train,0,960.2,0.419,0.752,0.46,0.421
86,0.4175800000000001,2025-09-26 13:50:09,hydra,final,train,0,926.42,0.448,0.783,0.46,0.436
87,0.40425000000000005,2025-09-26 13:50:10,hydra,final,train,0,931.75,0.443,0.777,0.46,0.433
88,0.37409000000000003,2025-09-26 13:50:11,hydra,final,train,0,941.91,0.429,0.761,0.461,0.426
89,0.4339500000000001,2025-09-26 13:50:12,hydra,final,train,0,927.05,0.459,0.792,0.461,0.441
90,0.4339,2025-09-26 13:50:13,hydra,final,train,0,925.1,0.458,0.791,0.461,0.44
91,0.40457000000000004,2025-09-26 13:50:14,hydra,final,train,0,938.43,0.447,0.779,0.461,0.435
92,0.43199000000000004,2025-09-26 13:50:15,hydra,final,train,0,928.01,0.458,0.792,0.461,0.441
