episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.27499,2025-09-24 01:17:43,hydra,mid,train,0,955.01,0.39,0.753,0.434,0.406
2,0.3352099999999999,2025-09-24 01:17:43,hydra,mid,train,0,930.79,0.414,0.778,0.434,0.418
3,0.33333999999999997,2025-09-24 01:17:44,hydra,mid,train,0,929.66,0.412,0.776,0.434,0.417
4,0.3506,2025-09-24 01:17:45,hydra,mid,train,0,929.4,0.423,0.787,0.434,0.423
5,0.33499,2025-09-24 01:17:46,hydra,mid,train,0,930.01,0.413,0.777,0.434,0.418
6,0.24142000000000002,2025-09-24 01:17:47,hydra,mid,train,0,965.58,0.375,0.739,0.433,0.399
7,0.30333,2025-09-24 01:17:48,hydra,mid,train,0,934.67,0.396,0.76,0.433,0.409
8,0.29376,2025-09-24 01:17:49,hydra,mid,train,0,954.24,0.402,0.765,0.434,0.412
9,0.32491000000000003,2025-09-24 01:17:50,hydra,mid,train,0,941.09,0.413,0.777,0.435,0.418
10,0.36011999999999994,2025-09-24 01:17:51,hydra,mid,train,0,929.88,0.43,0.795,0.434,0.426
11,0.3478800000000001,2025-09-24 01:17:52,hydra,mid,train,0,935.12,0.425,0.789,0.434,0.424
12,0.2423399999999999,2025-09-24 01:17:53,hydra,mid,train,0,1029.66,0.418,0.783,0.434,0.42
13,0.34141999999999983,2025-09-24 01:17:54,hydra,mid,train,0,931.58,0.418,0.781,0.435,0.42
14,0.34643,2025-09-24 01:17:55,hydra,mid,train,0,926.57,0.418,0.782,0.435,0.42
15,0.3325499999999999,2025-09-24 01:17:56,hydra,mid,train,0,934.45,0.414,0.777,0.435,0.418
16,0.2596,2025-09-24 01:17:57,hydra,mid,train,0,948.4,0.376,0.739,0.433,0.399
17,0.34604999999999997,2025-09-24 01:17:58,hydra,mid,train,0,929.95,0.421,0.787,0.433,0.422
18,0.27592,2025-09-24 01:17:59,hydra,mid,train,0,946.08,0.385,0.75,0.433,0.404
19,0.13369000000000003,2025-09-24 01:18:00,hydra,mid,train,0,980.31,0.312,0.671,0.435,0.367
20,0.31823,2025-09-24 01:18:01,hydra,mid,train,0,936.77,0.406,0.769,0.435,0.414
21,0.33392999999999995,2025-09-24 01:18:01,hydra,mid,train,0,929.07,0.411,0.775,0.435,0.417
22,0.30151,2025-09-24 01:18:02,hydra,mid,train,0,928.49,0.389,0.751,0.435,0.406
23,0.3413799999999999,2025-09-24 01:18:03,hydra,mid,train,0,939.62,0.423,0.787,0.435,0.423
24,0.36107000000000006,2025-09-24 01:18:04,hydra,mid,train,0,928.93,0.429,0.793,0.435,0.426
25,0.21491000000000005,2025-09-24 01:18:05,hydra,mid,train,0,1043.09,0.408,0.771,0.435,0.415
26,0.3557000000000001,2025-09-24 01:18:06,hydra,mid,train,0,928.3,0.425,0.788,0.435,0.424
27,0.23127999999999999,2025-09-24 01:18:07,hydra,mid,train,0,982.72,0.38,0.744,0.433,0.401
28,0.3148200000000001,2025-09-24 01:18:08,hydra,mid,train,0,933.18,0.403,0.77,0.432,0.413
29,0.2872,2025-09-24 01:18:09,hydra,mid,train,0,950.8,0.395,0.758,0.434,0.409
30,0.32933,2025-09-24 01:18:10,hydra,mid,train,0,935.67,0.413,0.777,0.434,0.418
31,0.3314799999999999,2025-09-24 01:18:11,hydra,mid,train,0,934.52,0.414,0.779,0.434,0.418
32,0.32299,2025-09-24 01:18:12,hydra,mid,train,0,928.01,0.404,0.768,0.434,0.413
33,0.36108,2025-09-24 01:18:13,hydra,mid,train,0,922.92,0.426,0.792,0.434,0.424
34,0.34250999999999987,2025-09-24 01:18:14,hydra,mid,train,0,926.49,0.416,0.781,0.434,0.419
35,0.3507999999999999,2025-09-24 01:18:15,hydra,mid,train,0,926.2,0.421,0.786,0.434,0.422
36,0.34332000000000007,2025-09-24 01:18:16,hydra,mid,train,0,931.68,0.42,0.785,0.434,0.421
37,0.1516199999999998,2025-09-24 01:18:17,hydra,mid,train,0,1067.38,0.383,0.748,0.433,0.403
38,0.34394,2025-09-24 01:18:18,hydra,mid,train,0,932.06,0.422,0.789,0.432,0.422
39,0.32937000000000005,2025-09-24 01:18:19,hydra,mid,train,0,934.63,0.414,0.781,0.432,0.418
40,0.25877999999999995,2025-09-24 01:18:19,hydra,mid,train,0,961.22,0.384,0.748,0.433,0.403
41,0.21451999999999993,2025-09-24 01:18:21,hydra,mid,train,0,1032.48,0.401,0.766,0.434,0.412
42,0.3502099999999999,2025-09-24 01:18:21,hydra,mid,train,0,929.79,0.423,0.788,0.434,0.423
43,0.29838999999999993,2025-09-24 01:18:22,hydra,mid,train,0,943.61,0.398,0.763,0.434,0.41
44,0.23821999999999988,2025-09-24 01:18:23,hydra,mid,train,0,1042.78,0.424,0.789,0.434,0.423
45,0.32847000000000004,2025-09-24 01:18:24,hydra,mid,train,0,925.53,0.406,0.771,0.434,0.414
46,0.35734999999999995,2025-09-24 01:18:25,hydra,mid,train,0,931.65,0.429,0.794,0.434,0.426
47,0.31189999999999996,2025-09-24 01:18:26,hydra,mid,train,0,939.1,0.404,0.767,0.434,0.413
48,0.2254,2025-09-24 01:18:27,hydra,mid,train,0,958.6,0.36,0.723,0.433,0.391
49,0.3429899999999999,2025-09-24 01:18:28,hydra,mid,train,0,934.01,0.422,0.788,0.433,0.422
50,0.30213999999999996,2025-09-24 01:18:29,hydra,mid,train,0,947.86,0.403,0.766,0.434,0.413
51,0.29577999999999993,2025-09-24 01:18:30,hydra,mid,train,0,947.22,0.398,0.761,0.435,0.41
52,0.20668000000000009,2025-09-24 01:18:31,hydra,mid,train,0,1046.32,0.405,0.769,0.434,0.414
53,0.3310700000000001,2025-09-24 01:18:32,hydra,mid,train,0,927.93,0.409,0.773,0.434,0.416
54,0.37186,2025-09-24 01:18:33,hydra,mid,train,0,932.14,0.439,0.805,0.434,0.431
55,0.33175999999999994,2025-09-24 01:18:34,hydra,mid,train,0,939.24,0.417,0.781,0.434,0.42
56,0.3327699999999999,2025-09-24 01:18:35,hydra,mid,train,0,927.23,0.41,0.774,0.434,0.416
