episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.40478,2025-09-22 23:33:09,tdmpc2,early,train,2,926.22,0.463,0.483,0.456,0.412
2,0.3740800000000001,2025-09-22 23:33:10,tdmpc2,early,train,2,934.92,0.449,0.475,0.455,0.405
3,0.39123,2025-09-22 23:33:11,tdmpc2,early,train,2,931.77,0.458,0.48,0.456,0.409
4,0.40683,2025-09-22 23:33:12,tdmpc2,early,train,2,932.17,0.469,0.487,0.456,0.414
5,0.3461500000000001,2025-09-22 23:33:13,tdmpc2,early,train,2,951.85,0.442,0.471,0.454,0.402
6,0.38679,2025-09-22 23:33:14,tdmpc2,early,train,2,935.21,0.459,0.482,0.454,0.409
7,0.37517999999999996,2025-09-22 23:33:15,tdmpc2,early,train,2,933.82,0.449,0.475,0.455,0.405
8,0.3698800000000001,2025-09-22 23:33:16,tdmpc2,early,train,2,935.12,0.446,0.472,0.456,0.403
9,0.38103000000000004,2025-09-22 23:33:17,tdmpc2,early,train,2,941.97,0.458,0.48,0.456,0.409
10,0.38523999999999997,2025-09-22 23:33:18,tdmpc2,early,train,2,933.76,0.456,0.479,0.455,0.408
11,0.42504999999999993,2025-09-22 23:33:19,tdmpc2,early,train,2,927.95,0.478,0.493,0.456,0.419
12,0.40338999999999997,2025-09-22 23:33:20,tdmpc2,early,train,2,934.61,0.468,0.487,0.456,0.414
13,0.41549,2025-09-22 23:33:20,tdmpc2,early,train,2,925.51,0.47,0.488,0.456,0.415
14,0.40199,2025-09-22 23:33:21,tdmpc2,early,train,2,931.01,0.465,0.485,0.456,0.412
15,0.38289,2025-09-22 23:33:22,tdmpc2,early,train,2,939.11,0.458,0.481,0.455,0.409
16,0.33713999999999994,2025-09-22 23:33:23,tdmpc2,early,train,2,942.86,0.43,0.463,0.454,0.396
17,0.3760800000000001,2025-09-22 23:33:24,tdmpc2,early,train,2,936.92,0.453,0.478,0.454,0.406
18,0.38397,2025-09-22 23:33:25,tdmpc2,early,train,2,932.03,0.455,0.479,0.454,0.407
19,0.3415500000000001,2025-09-22 23:33:26,tdmpc2,early,train,2,949.45,0.436,0.466,0.456,0.399
20,0.33451999999999993,2025-09-22 23:33:27,tdmpc2,early,train,2,982.48,0.454,0.478,0.456,0.407
21,0.35582,2025-09-22 23:33:28,tdmpc2,early,train,2,966.18,0.457,0.479,0.456,0.409
