episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.48471000000000003,2025-09-27 14:51:05,tdmpc2,final,train,1,932.29,0.459,0.706,0.586,0.372
2,0.4320499999999998,2025-09-27 14:51:06,tdmpc2,final,train,1,932.95,0.423,0.674,0.585,0.357
3,0.48771000000000003,2025-09-27 14:51:07,tdmpc2,final,train,1,928.29,0.459,0.707,0.585,0.372
4,0.48408999999999996,2025-09-27 14:51:08,tdmpc2,final,train,1,930.91,0.458,0.706,0.585,0.372
5,0.3871399999999998,2025-09-27 14:51:09,tdmpc2,final,train,1,959.86,0.411,0.663,0.584,0.352
6,0.46598999999999996,2025-09-27 14:51:10,tdmpc2,final,train,1,924.01,0.441,0.691,0.584,0.365
7,0.47507000000000005,2025-09-27 14:51:11,tdmpc2,final,train,1,932.93,0.454,0.704,0.584,0.37
8,0.44807,2025-09-27 14:51:12,tdmpc2,final,train,1,931.93,0.433,0.683,0.586,0.361
9,0.5008300000000001,2025-09-27 14:51:13,tdmpc2,final,train,1,925.17,0.465,0.712,0.586,0.375
10,0.43413999999999986,2025-09-27 14:51:14,tdmpc2,final,train,1,957.86,0.441,0.689,0.586,0.365
11,0.4886599999999999,2025-09-27 14:51:15,tdmpc2,final,train,1,930.34,0.46,0.707,0.586,0.373
12,0.48652999999999996,2025-09-27 14:51:16,tdmpc2,final,train,1,924.47,0.455,0.702,0.586,0.37
13,0.48652999999999996,2025-09-27 14:51:17,tdmpc2,final,train,1,934.47,0.461,0.708,0.587,0.373
14,0.4749099999999999,2025-09-27 14:51:17,tdmpc2,final,train,1,925.09,0.447,0.695,0.586,0.367
15,0.45973,2025-09-27 14:51:18,tdmpc2,final,train,1,931.27,0.441,0.69,0.585,0.365
16,0.39540999999999993,2025-09-27 14:51:19,tdmpc2,final,train,1,955.59,0.414,0.665,0.584,0.353
17,0.4417899999999999,2025-09-27 14:51:20,tdmpc2,final,train,1,931.21,0.429,0.68,0.584,0.36
18,0.42486999999999986,2025-09-27 14:51:21,tdmpc2,final,train,1,937.13,0.42,0.67,0.586,0.356
19,0.48211,2025-09-27 14:51:22,tdmpc2,final,train,1,937.89,0.461,0.709,0.586,0.373
20,0.46284999999999993,2025-09-27 14:51:23,tdmpc2,final,train,1,926.15,0.44,0.69,0.585,0.364
21,0.46408,2025-09-27 14:51:24,tdmpc2,final,train,1,937.92,0.448,0.696,0.586,0.368
22,0.50308,2025-09-27 14:51:25,tdmpc2,final,train,1,922.92,0.465,0.712,0.586,0.375
