episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.42238999999999993,2025-09-24 19:45:34,tdmpc2,mid,train,2,932.61,0.474,0.484,0.464,0.417
2,0.3485399999999999,2025-09-24 19:45:35,tdmpc2,mid,train,2,952.46,0.438,0.461,0.463,0.4
3,0.4254,2025-09-24 19:45:36,tdmpc2,mid,train,2,933.6,0.477,0.486,0.464,0.418
4,0.43320000000000003,2025-09-24 19:45:37,tdmpc2,mid,train,2,932.8,0.482,0.49,0.464,0.42
5,0.4269400000000001,2025-09-24 19:45:38,tdmpc2,mid,train,2,937.06,0.48,0.488,0.464,0.42
6,0.14582,2025-09-24 19:45:39,tdmpc2,mid,train,2,1172.18,0.45,0.469,0.463,0.405
7,0.2719900000000001,2025-09-24 19:45:40,tdmpc2,mid,train,2,984.01,0.408,0.441,0.463,0.385
8,0.36759000000000003,2025-09-24 19:45:41,tdmpc2,mid,train,2,947.41,0.447,0.466,0.464,0.404
9,0.3868,2025-09-24 19:45:42,tdmpc2,mid,train,2,943.2,0.457,0.473,0.464,0.409
10,0.39907000000000004,2025-09-24 19:45:43,tdmpc2,mid,train,2,950.93,0.471,0.482,0.464,0.415
11,0.43487,2025-09-24 19:45:44,tdmpc2,mid,train,2,926.13,0.478,0.487,0.464,0.419
12,0.40497,2025-09-24 19:45:45,tdmpc2,mid,train,2,925.03,0.457,0.473,0.464,0.409
13,0.42907000000000006,2025-09-24 19:45:45,tdmpc2,mid,train,2,926.93,0.475,0.485,0.464,0.417
14,0.39782000000000006,2025-09-24 19:45:46,tdmpc2,mid,train,2,954.18,0.472,0.483,0.464,0.416
15,0.41407000000000005,2025-09-24 19:45:47,tdmpc2,mid,train,2,941.93,0.475,0.484,0.464,0.417
16,0.35275000000000006,2025-09-24 19:45:48,tdmpc2,mid,train,2,958.25,0.445,0.466,0.463,0.403
17,0.41601000000000005,2025-09-24 19:45:49,tdmpc2,mid,train,2,926.99,0.468,0.481,0.462,0.413
18,0.41955999999999993,2025-09-24 19:45:50,tdmpc2,mid,train,2,931.44,0.473,0.485,0.462,0.416
19,0.31873,2025-09-24 19:45:51,tdmpc2,mid,train,2,968.27,0.428,0.454,0.464,0.395
20,0.41478999999999994,2025-09-24 19:45:52,tdmpc2,mid,train,2,925.21,0.464,0.477,0.464,0.412
21,0.42852,2025-09-24 19:45:53,tdmpc2,mid,train,2,926.48,0.474,0.484,0.464,0.417
22,0.41989,2025-09-24 19:45:54,tdmpc2,mid,train,2,936.11,0.475,0.485,0.464,0.417
23,0.4106699999999999,2025-09-24 19:45:55,tdmpc2,mid,train,2,924.33,0.461,0.475,0.464,0.41
24,0.42672,2025-09-24 19:45:56,tdmpc2,mid,train,2,929.28,0.475,0.485,0.464,0.417
25,0.39444000000000007,2025-09-24 19:45:57,tdmpc2,mid,train,2,933.56,0.456,0.472,0.464,0.408
26,0.43752,2025-09-24 19:45:58,tdmpc2,mid,train,2,926.48,0.48,0.487,0.465,0.419
27,0.3572599999999999,2025-09-24 19:45:59,tdmpc2,mid,train,2,968.74,0.455,0.472,0.463,0.408
28,0.42299,2025-09-24 19:46:00,tdmpc2,mid,train,2,932.01,0.475,0.485,0.463,0.417
29,0.42183000000000004,2025-09-24 19:46:00,tdmpc2,mid,train,2,933.17,0.475,0.486,0.463,0.417
30,0.37806,2025-09-24 19:46:01,tdmpc2,mid,train,2,949.94,0.456,0.472,0.464,0.408
31,0.42246000000000006,2025-09-24 19:46:02,tdmpc2,mid,train,2,926.54,0.47,0.481,0.464,0.415
32,0.44209,2025-09-24 19:46:03,tdmpc2,mid,train,2,928.91,0.485,0.491,0.464,0.422
33,0.41616999999999993,2025-09-24 19:46:04,tdmpc2,mid,train,2,930.83,0.469,0.481,0.464,0.414
34,0.42232000000000003,2025-09-24 19:46:05,tdmpc2,mid,train,2,929.68,0.472,0.483,0.464,0.416
35,0.41674,2025-09-24 19:46:06,tdmpc2,mid,train,2,933.26,0.471,0.482,0.464,0.415
36,0.42040999999999995,2025-09-24 19:46:07,tdmpc2,mid,train,2,932.59,0.473,0.484,0.464,0.416
37,0.41525999999999996,2025-09-24 19:46:08,tdmpc2,mid,train,2,943.74,0.477,0.486,0.464,0.418
38,0.30671999999999994,2025-09-24 19:46:09,tdmpc2,mid,train,2,966.28,0.42,0.45,0.462,0.391
39,0.41498,2025-09-24 19:46:10,tdmpc2,mid,train,2,935.02,0.472,0.484,0.462,0.416
40,0.40398,2025-09-24 19:46:11,tdmpc2,mid,train,2,943.02,0.469,0.481,0.464,0.414
41,0.38823,2025-09-24 19:46:12,tdmpc2,mid,train,2,942.77,0.458,0.474,0.464,0.409
42,0.21465,2025-09-24 19:46:13,tdmpc2,mid,train,2,1148.35,0.48,0.488,0.464,0.419
43,0.43447,2025-09-24 19:46:14,tdmpc2,mid,train,2,927.53,0.479,0.487,0.464,0.419
44,0.42377999999999993,2025-09-24 19:46:15,tdmpc2,mid,train,2,941.22,0.481,0.489,0.464,0.42
45,0.41669,2025-09-24 19:46:16,tdmpc2,mid,train,2,934.31,0.472,0.483,0.464,0.415
46,0.40149000000000007,2025-09-24 19:46:17,tdmpc2,mid,train,2,939.51,0.465,0.478,0.464,0.412
47,0.40097,2025-09-24 19:46:18,tdmpc2,mid,train,2,935.03,0.462,0.476,0.463,0.411
48,0.3650800000000001,2025-09-24 19:46:19,tdmpc2,mid,train,2,950.92,0.449,0.469,0.462,0.405
49,0.40347000000000005,2025-09-24 19:46:19,tdmpc2,mid,train,2,926.53,0.459,0.476,0.462,0.409
50,0.43450999999999995,2025-09-24 19:46:20,tdmpc2,mid,train,2,934.49,0.485,0.493,0.462,0.422
51,0.38298000000000004,2025-09-24 19:46:21,tdmpc2,mid,train,2,947.02,0.457,0.473,0.464,0.409
52,0.42845,2025-09-24 19:46:22,tdmpc2,mid,train,2,929.55,0.477,0.486,0.463,0.418
